date,ann_vol_1m_%,skew_1m,kurt_1m,max_ret_1m,min_ret_1m,streak_up_1m,streak_down_1m,RSI14_last,MA_GAP50_last,MACD_hist_last,high_vol,vix_close,cpi,cpi_yoy,reserves
2006-03-31,11.313236413978869,0.0822000899329924,-0.6454186230451375,0.0168337286709006,-0.010669037563903,5,3,49.4496189669771,1.4064012602894582,0.0018483627404029,0,11.39,124.18,,
2006-04-30,5.433343334692848,-0.3572278693904939,0.5658570342827098,0.0056141926790926,-0.0094564408041697,3,7,41.16607773851592,-0.6121136435528585,-0.0022947538627451,0,11.59,125.84,,
2006-05-31,25.11666796672629,1.140709482777531,1.3990498163715062,0.0489019855469023,-0.0206815995602583,5,2,83.97753551370994,12.24374089591469,0.0113996987313811,1,16.44,128.2,,
2006-06-30,26.060210202466006,0.5206614392988071,0.0105158548171355,0.0399637868598035,-0.0273689188390376,5,4,61.69083834453484,8.2008534606,-0.0055425423031207,1,13.08,128.63,,
2006-07-31,19.91631108454388,0.3630448299784211,-0.0609320723113238,0.022756742738589,-0.0253838921968034,2,4,32.520325203251986,-4.497866996150945,-0.0093724520453905,1,14.95,129.72,,
2006-08-31,12.829977838716786,0.0187640144460101,-0.6242178222769512,0.0154373927958832,-0.0158399892610242,2,7,58.31305758313052,-3.743643478930347,0.006662507356273,0,12.31,129.15,,
2006-09-30,19.362354455670346,1.1204583571928874,2.576580287840759,0.038487599945792,-0.0194869103077226,4,2,55.69892473118282,1.1328279952614428,0.0046199532346012,1,11.98,130.81,,
2006-10-31,10.26776201382724,-0.0994732936902314,-0.8436374640257354,0.0099946695095949,-0.0126006069402296,2,4,27.030162412993132,-1.3741689804129045,-0.0047483527796505,0,11.1,132.47,,
2006-11-30,10.322829289696823,-0.2086130290228109,-0.6272376499818217,0.0109088429808412,-0.0128135223555071,6,2,58.80000000000004,-0.4730076283674278,0.003694330971945,0,10.91,134.18,,
2006-12-31,6.68337324669413,0.0540014946882098,-0.1563076432021519,0.0070495542193655,-0.0096796182685753,2,3,35.68627450980392,-1.9480564321771143,0.0001531973259481,0,11.56,134.49,,
2007-01-31,10.684829052001582,0.6270773492200514,-0.6174665418226608,0.0127879044792991,-0.0088166414106625,4,3,35.606060606060566,-0.5349811997889531,0.0010474172285448,0,10.42,135.84,9.929594561786859,
2007-02-28,7.305926371340298,0.4873528466031706,0.0370129641052359,0.0093073593073593,-0.0094346264873617,2,6,48.01178203240064,-1.1220166613183369,0.0005732020388163,0,15.42,136.42,10.158268733850107,
2007-03-31,13.457112901974147,0.7352806715505759,0.4282222626189296,0.0214556163230965,-0.0134541460735859,4,5,35.27542372881351,-0.950246130957888,-0.0018677473210947,0,14.64,137.67,10.86326300531486,
2007-04-30,8.279783987608063,-0.1521006574394734,-0.505750374594673,0.007635851434502,-0.0123602118893466,2,4,32.45614035087729,-3.820776961982597,-0.0025545816939821,0,14.22,139.33,10.719961856325511,
2007-05-31,13.414033592404987,0.7259063816290092,2.0450602607073964,0.0251162093267356,-0.0172850220582917,3,3,45.51201011378012,-1.7083860453512734,0.0013918037665087,0,13.05,140.03,9.227769110764438,
2007-06-30,13.41415369613325,0.7318340596523144,0.9181160507530012,0.0229319609475515,-0.0147336607480165,4,5,36.900684931506845,-0.7888823465795003,0.0014228444757118,0,16.23,139.69,8.59830521651248,
2007-07-31,15.55505570893846,1.8830959955547115,4.174872840553247,0.0327571236877417,-0.0111862036821255,3,5,57.31795241528479,0.143752145554421,0.00458434556202,1,23.52,138.67,6.899475794017884,351623046.2
2007-08-31,28.382121564896284,0.0786824621943797,-0.3831423578537056,0.0391174270755423,-0.0358500035850003,4,2,59.56102427668775,2.287752529135023,-0.0012393960380602,1,23.38,138.7,7.394502516453727,363796049.3
2007-09-30,13.09706398061206,-0.8151034194735911,0.5863980746378861,0.0075132707227441,-0.0248008417255373,2,4,18.196721311475383,-5.647052615077541,-0.0057154590600904,0,18.0,140.13,7.124837550645968,
2007-10-31,17.025633192186262,1.143270957560732,1.157544221801758,0.0281772088770675,-0.016976556184317,2,4,52.04274041483343,-4.939932249257639,0.0020948940004136,1,18.53,142.67,7.699856571299146,
2007-11-30,16.618338633898478,0.2110508197760068,0.006163303166367,0.0217300109069553,-0.0208920577018735,3,3,51.78326474622767,-0.8861377152268868,0.0026364436938435,1,22.87,145.45,8.399165300342815,
2007-12-31,7.445549918343635,0.5319119529712236,1.224744390571776,0.0112054329371817,-0.0110056288330672,2,5,42.90843806104135,-1.566789578511074,-1.6308201708884872e-05,0,22.5,145.77,8.387240687039931,
2008-01-31,15.935949797859587,0.1623992863945747,-0.2788523330328738,0.0196475250864323,-0.0203632809318237,5,4,55.94405594405593,-0.2741423948768084,0.0005666905982429,1,26.2,146.94,8.171378091872782,
2008-02-29,13.384223969834864,0.849454058961698,0.0633455678310066,0.0202674640750892,-0.0128677977214982,5,6,39.71291866028708,-0.1562170149884023,-0.0025893803979562,0,26.54,148.84,9.104236915408315,
